disease,food
0,米
0,飯
0,麵
0,麥
0,薯
0,地瓜
0,芋頭
0,薏仁
0,粥
0,吐司
0,可頌
0,餃
0,鍋貼
0,南瓜
0,冬粉
0,螞蟻上樹
0,饅頭
0,包
0,燒賣
0,油條
0,堡
0,派
0,蔥油餅
0,蛋餅
0,貝果
0,三明治
0,泡芙
0,巧克力
0,冰淇淋
0,奶茶
0,奶昔
0,汽水
0,可樂
0,蘇打
0,蘇打
0,奶
0,醬
0,糖
0,甜甜圈
0,油
0,卡士達
0,乳酪
0,甘蔗
0,紅棗
0,葡萄
0,荔枝
0,炸
0,薯條
0,龍眼
0,培根
0,黃豆
0,豆干
0,豆漿
0,豆皮
1,炸
1,牛
1,豬
1,羊
1,薯條
1,雞塊
1,雞排
1,酒
1,辣
1,辛
1,香腸
1,火腿
1,貢丸
1,肉鬆
1,肥肉
1,大腸
1,腰子
1,雞肝
1,內臟
1,鹽
1,鹹
1,油
2,牛
2,豬
2,羊
2,堡
2,貢丸
2,魚丸
2,醬
2,麵包
2,餅乾
2,蛋糕
2,麵
2,腰子
2,雞皮
2,鴨皮
2,燻雞
2,榨菜
2,酸菜
2,醬菜
2,梅乾菜
2,蜜餞
2,肉鬆
2,魚鬆
2,火腿
2,豆瓣
2,沙茶
2,辣椒
2,豆腐乳
2,肉醬
2,奶油
2,火鍋
2,油
2,炸
2,酒
2,内臟
2,肥肉
2,大腸
2,腰子
2,雞肝
2,奶酥
2,泡麵
3,湯
3,茶泡飯
3,蕎麥
3,醋
3,生魚片
3,生菜
3,生雞蛋
3,竹筍
3,牛蒡
3,南瓜
3,芥菜
3,蒟蒻
3,海帶
3,紫菜
3,海苔
3,藻
3,柑
3,橘
3,椪
3,橙
3,草莓
3,鳳梨
3,檸
3,檬
3,番茄醬
3,茄汁
